name,descriptions,rel_aesthetics,key_colors,brands
Craftcore,"Craftcore does not have a clear fashion guideline (it is very versatile and easy to combine with other aesthetics), although the following do fit the Craftcore aesthetic:
,(Self-)knitted sweaters,
,Anything you've made yourself,
,Thrifted clothing items that have been personalized by tailoring and/or embroidery,
,Overalls that can hold all/most of your tools,
,Pencil behind your ear,
,Embroidering clothes you already have (most commonly insects (bees, butterflies, ladybugs), flowers/plants, stars/planets, animals (hedgehogs, deer, birds, foxes, cats, dogs), mushrooms, fruit, but also gaming and fandom-related patterns),
,Sturdy boots,
,Crocheted hats with flowers on them,
,Clothes that you added pockets onto,
,Aprons,
,Patchwork clothes (like jackets),
,Handpainted denim,
,A totebag or satchel to hold your supplies,
,Ribbons or hair ties (to keep your hair out of your face while you're working),Hobbies,[,]","Art Hoe,Cottagecore,Grandparentcore,Indiecraft,Scrapbook",,
Corporate Hippie,,"Acid Pixie,Acidwave,Beatnik,Cartooncore,Corporate,Cyberdelic,Drugcore,Groovival,Hippie,Lovecore,Psychedelica,Rainbowcore,Stoner,Vintage",All,
Country,"Plaid shirts,
,Blue Jeans,
,Camouflage apparel,
,Cowboy boots,
,Hiking/work boots,
,Baseball and trucker caps,
,Cowboy hats,Media,[,]","Americana,Cottagecore,Equestrian,French Provincial Style,Girl-Next-Door,Live Laugh Love,Southern Gothic,Western","Red, beige, navy blue",
Cozy Childhood Hideaway,"These evoke a sense of warmth and safety, and don't get in the way if there is a need to run.
,Sweaters,
,Cardigans,
,Jackets,
,Coats with hoods,
,Comfortable pants,
,Overalls,
,Beanies/toques,
,Patterned socks,
,Brown leather boots,
,Converse,
,Canvas backpacks/duffel bags (containing books, snacks, stuffed animals, etc.),
,Water bottles/thermos bottles,
,Knitted clothing,
,Corduroy,
,Denim,Activities,[,]","Campcore,Comfy/Cozy,Kidcore,Traumacore","Brown, cream, earth tones",
Crackhead,"Crackhead fashion is generally very casual and comfy, including sweatpants, baggy clothing, stained clothing and often accompanied by highly fashionable accessories such as smartphones with broken screens. The style is very urban, similar to ,Grunge, fashion and dollar store clothes.
,Colors often associated with Crackhead are red, symbolizing the blood shed by a stubbed toe, yellow for your pee (because you haven't been drinking enough water!!), brown, for that sauce you spilled on your shirt, black, and gray.
,Crackhead fashion is less about what one wears, but what one ,does, with what one wears, but the general theme is chaos, chaotic and confusing get-ups, while not necessarily cursed.
,Media,[,]","Bastardcore,Chaotic Academia,Chav,Drugcore,Feralcore,Goblincore,Grunge,Raver,Surreal Memer,Trashcore,Weirdcore","black, brown, gray, red, yellow",
Coquette Academia,"Mom Jeans,
,Oversize sweaters,
,Loose pants,
,Doc Martens,
,Mary Janes,
,Longer socks (commonly lacey),
,Thigh Highs,
,Stockings,
,Simple skirts,
,Simple crop tops,
,High waisted shorts,
,Long sun dresses,
,Plain long body-con dresses,
,Ballet-related clothing (such as ballet flats,skirts,stockings and tutus),Makeup/Accessories,[,],Soft pinks,
,Minimal eye makeup,
,Long lashes,
,Soft glossy lips,
,Simple winged eyeliner,
,Natural face,
,Single chain necklaces,
,'Owned by Tiffany' necklaces,
,Rose quartz pendants,
,Simple charm necklaces,
,Minimalist earrings,
,Multiple piercings,
,Canvas tote bags with feminist slogans,
,Small purses,
,Simple nail designs,Music,[,]","Balletcore,Ballet Academia,Bookstore Girl,Coquette,Light Academia,Lolita,Nymphet,Romantic Academia",,
C-Pop,,"Hallyu,Hip-Hop,Pop,R&B,City Pop",,
Corporate,"Unless it's a Business Casual (see below), most Corporate fashion will feature the following for men:
,Button-Up Shirt,
,Tie,
,Dress Pants,
,Jacket,
,Belt,
,Dress shoes,For women, however, there can be a little more variety:
,Business suit with either dress slacks or knee-length skirt in a conservative neutral color.
,Linen/cotton for summer months,
,Wool or heavier material for winter,
,Blouses,
,Dress shirts,
,Sweaters,
,Button-down tops,
,Turtlenecks,
,Natural-looking makeup,
,Closed-toe heels in a neutral color such as taupe, black, grey, or brown.,
,Formal flats, oxfords, or loafers,
,Minimalist jewelry,
,A-line, pencil, or flared knee-length skirt,
,Dark tights,
,Well-groomed hair worn in a conservative cut, such as a bob or soft layers.,
,Well-groomed, neutral nails that are either clear coated, or painted with a beige-toned polish.,Types of Fashion,[,]","Abstract Tech,Boujee,Bright Tertiaries,Chic Modernist,Corporate Gen-X Cyber,Corporate Hippie,Corporate Memphis,Corporate Punk,Cyberbougie,Cyberprep,Dark Aero,DORFic,Flat Design,Frutiger Aero,Frutiger Eco,Funky Seasons,Helvetica Aqua Aero,Mallsoft,Metrosexual,Renewable Corporate Futurism,Studyblr,Studyplace,Technozen,Trillwave,Vaporwave","Black, white, dark blue, gray. bright colours are seen but used moderately",
Constructivism,,"Aeropittura,Art Academia,Avant-garde,Bauhaus,De Stijl,Purism,Modernism,Socialist Realism,Sovietwave,Suprematism,Zenitism",,
Cottagegore,"Cottagegore tends to take the Cottagecore fashion aesthetic and runs it through more of a ,Gothic, lens. The fashion consists of black flouncy dresses, black overalls, and old black clothing that can be worn while living a quiet, solitary farm life.
,Black flowy dresses and skirts,
,Dark overalls,
,Large, layered clothing with big pockets, puffy sleeves, and button blouses,
,Lace,
,Hand-crafted accessories, such as simple jewelry,
,Longer, loose-fitting clothing,
,Down hairstyles,
,Braided hair,
,Pure-perceived clothing (clean clothes, ballet shoes, etc.) in a dark forest,
,Dark-perceived clothing (ex. torn/dirty clothes) in a bright forest,
,Dull green shirts and/or dresses,
,Religious jewelry,Media,[,]","Coffinwood,Cottagecore,Crowcore,Cryptkeepercore,Cult Party Kei,Dark Academia,Dark Fantasy,Fairy Grunge,Forestpunk,Mosscore,Southern Gothic,Vintage,Vulture Culture,Witchcore,Woodland Goth","Faded browns, yellows, greys, and greens, black",
Corporate Memphis,,"Austurbane,Corporate,Cyberbougie,Flat Design,Frutiger Aero,Frutiger Metro,Grime Art,Memphis Design,Minimalism,Neubrutalism,Pacific Punk Wave,Paperback Chic,Vector Minimalism",,
Corporate Grunge,,"Corporate Gen-X Cyber,Cyberpunk,Grunge,Industrial,Teenpunk,UrBling,VH1 Sepia Sky","Black, white",
Cottagecore,"There is a wide range of outfit styles that could fit into the Cottagecore aesthetic. Cottagecore fashion tends to fall into either a hyper-feminine, modernized interpretation of historical fashion or a more practical and cozy outfit that includes elements of whimsy.   
,The colors in Cottagecore tend to be naturally occurring or faded colours, including brown, baby pink, olive green, ivory, maroon, beige, ochre, dusty rose pink, light yellow, and baby blue. The fabrics are most often natural, such as in cotton, linens, knitted yarn, etc.   
,Many of these clothes are vintage and purchased secondhand, such as from thrift stores or vintage shops. This is in line with the appreciation for the environment and sustainability, as well as the fact that many Cottagecore pieces are highly sought-after because of their rarity in modern times and un-replicable unique design, such as in Gunne Sax dresses, Edwardian blouses, and antique aprons. However, as the aesthetic has become incredibly popular, it reached fast fashion, and many clothes found in mall brands have elements of Cottagecore motifs, especially with milkmaid tops.   
,Cottagecore fashion commonly involves:
,Longer, loose-fitting, flowy dresses and skirts often (but not always) reminiscent of housework wear from the 1900s-50s.,
,Large layered clothing (as stated above) big pockets, puffy sleeves, and button blouses,
,Patterns such as stripes, paisley, faded floral, and gingham.,
,Embroidered plants, animals, and insects.,
,Hand-crafted accessories such as simple jewelry and knitted hats, socks, and outerwear.,
,Shortalls/overalls,
,Lace,
,Longer, loose-fitting clothing,
,Laced corsets and bodices,Hair and Make-Up,[,],The hair and make-up of Cottagecore is either naturalistic, or in more fantastical interpretations, with fairy-like motifs. 
,Hair that is kept long, is associated with tradition and femininity. Long hair that is loose tends to be in waves or braids. 
,Accessories, such as bags, hats, jewelry and tech accessories that fit the cottagecore aesthetic tend to have visuals of flowers, trees, fairies, cute forest animals such as (deers, squirrels, butterflies), cabins & cottages, mushrooms, and fruits such as strawberries. 
,Media,[,]","Artcore,Bloomcore,Cabincore,Cottagegore,Country,Crowcore,Earthcore,Ethereal,Fairy Academia,Fairycore,Forestpunk,French Provincial Style,Grandparentcore,Hellenic,Hippie,Honeycore,Mori Kei,Naturecore,Natural Philosophy,New Spanish Catholic Girl,Plant Mom,Pont-Aven School,Prairiecore,Princesscore,Ravencore,Rococo,Romanticism,Shabby Chic,Tuscan Rustic,Villagecore,Vintage,Warmcore,Witchcore,Woodland Goth",", ",
Corporate Punk,,"Punk,Teenpunk","Red, black, yellow, purple, white, grey",Dolls Kill
Comfy/Cozy," 	, 	, 	, 		 			, 		 		 		 			,Example of Comfy/Cozy fashion, 		 	, ,Key fashion features include many things, usually not tight and very casual: 
,Warm woolly socks,
,Soft blankets,
,Cardigans,
,Warm beverage in a mug,
,Knitted, woolly and oversized sweaters.,
,Messy buns,
,Glasses,
,Scarves,
,Flannel,
,Sweatpants,
,Graphic pajamas,
,No Makeup,
,Slippers,
,Clothes with animals on them,Music,[,]","Autumn,Coffee House/Cafe,Cabincore,Cloudcore,Dazecore,Dreamy,Light Academia,Peoplehood,Softie,VSCO","Neutrals (e.g. white, beige, grey) ",
Cluttercore,,"Maximalism,Goblincore","Any, but often highly saturated",
Coffee House/Cafe,"Lots of denim, probably jeans and jackets mostly.,
,Maroon and mustard shirts, simple and laid-back.,
,Overalls, with maroon or black.,
,Anything that looks like coffee.,
,Patterns such as minimalist stripes and checkers,
,Comfy sweaters,
,Round glasees,Activities,[,]","After Hours,Comfy/Cozy,Dark Academia,Foodie,Light Academia,Lo-Fi,Milk,Indie,Global Village Coffeehouse","dark brown, black, mustard, forest green, maroon, navy, grey","Local third wave coffee shops, Starbucks is occasionally acceptable."
Coastal Grandmother,""",Being a coastal grandmother means wearing loose, breathable fabrics and doing strength training by shifting a full glass of Sauvignon Blanc from hand to hand. It means shelling peas on a chaise longue, or getting up at six to drink coffee with local cream in the still, cool promise of the morning. Coastal grandmother is not about conforming to male heterosexual expectations of female beauty. It is about being able to spend north of $70 on a single unscented pillar candle. Or, at least, cosplaying as someone who has money to spend on simple, good things. It is understated, wealthy-person dress up.,"",[1],
,White Button Down Shirt,
,Straight Leg Denim,
,Caftan,
,Sun Hat,
,Bucket Hat,
,Terry Cloth Robe,
,Wide Leg Cropped Pants,
,Chunky Knit Sweater,
,Linen Attire,
,Sunglasses,
,Sandals,Media,[,]","Nautical,Grandmillenial,Grandparentcore,Surf Crush","White, Cream, Eggshell, Beige, Navy, Sky Blue, Brown, and Grey",
Coffinwood,"Leather jackets,
,Denim jackets,
,Jeans,
,Tank tops and solid T-shirts,
,Dark and neutral solid colors,
,Graphic T-shirts with dark or rural motifs,
,Cowboy boots,
,Hiking boots,
,Biker boots,
,Denim vests,
,Leather vests,
,Trucker caps,
,Cowboy hats,
,Flat caps,
,Button-up shirts,
,Gingham and checkered shirts,
,Aviators or safety sunglasses,Media,[,]","Americana,Animecore,Cryptidcore,Dark Naturalism,Greaser,Halloween,Hauntology,Horror,Liminal Space,Midwest Gothic,Nostalgiacore,Post-Apocalyptic,Rock,Southern Gothic,Traumacore,Vintage,Western,Zombie Apocalypse,Cryptkeepercore","Black, Gray, Dark Blue, Dark Red, White, Silver,",
Club Kids,"All Club Kid fashion is, incredibly, ,Avant-garde, and ,Androgynous, by design, looking to push the boundaries of fashion and art, having a very Punk/DIY vibe to them since these over-the-top designs were often hand-made by the Club Kids themselves
,Music,[,]","Really, the vast majority of the aesthetics on this wiki could trace their lineage back to the Club Kids,Ballroom culture,Blingeecore,LOLcore",,
Coastal Cowgirl,"Linen,
,Cowgirl hats,
,Jean shorts,
,Floral dresses,
,Cowgirl boots,Flannel,Criticism,[,]","Coastal Grandmother,Beach Girl, ,Western,Minimalism,Rusticcore,Tomato Girl Summer","Baby blue, cream, tan",
Classic Academia,"Classic Academia fashion, like dark and light academia, takes inspiration primarily from Mid 20th Century and/or timeless preppy clothing. Outfits that give ""professorial"" vibes or look akin to a school uniform reign supreme. 
,Tops
,Wool Sweaters,
,Button Down Shirts/Blouses,
,Lacey Camisoles,
,Turtlenecks and Mock Necks,Bottoms
,Plaid Skirts,
,Trousers,Outerwear
,Beige Trench Coats,
,Blazers,Shoes
,Doc Martens,
,Black Pumps,
,Mary Janes,
,Oxfords,
,Loafers,
,Cute Flats,Accessories
,Neutral Makeup,
,Minimalistic Gold or Silver Toned Jewelry,
,Ties,
,Messenger Bags,
,Glasses,
,Watches,Movies,[,]","Classicism,Dark Academia,Light Academia,Studyblr,Studyplace","Brown, beige, cream, black, white, neutral, jewel or earth tones.",
Clockpunk,,"Cyberpunk,Steampunk","Bronze, brown, gold, silver",
Clean Girl,,"Minimalist,Scandinavian,Natural Beauty,Vanilla girl,That Girl","Neutral tones, whites, creams","Everlane, COS, Muji"
Classic Lolita,"The silhouette of Classic Lolita (more often than other styles), features an A-line skirt, with skirts usually being longer than what you would expect to see in other Lolita coordinates. Tea length skirts (skirts that come to the mid calf) are extremely common, with underskirts (a slip-like skirt with a lace ruffle at the very bottom) can be used to make a knee-length dress go to tea length.
,Coordinates often include heirloom details such as pintrucks and ruffles.
,Unlike other Lolita styles, flat shoes are very uncommon. In Classic Lolita, higher heeled shoes with straps as well as Victorian style boots are favored instead. 
The hair in Classic Lolita is kept natural in various shades of blonde, brown, and black. The hair can be styled in any way the person prefers. There are some who curl their hair, but it isn't very extreme. Makeup is preferred to be kept natural-looking as to appear mature.
,Visuals,[,]","Lolita,Maidcore,Mori Kei,Prairiecore,Victorian",,
Classicism,"
,Gallery,[,]","Art Academia,Classic Academia,Hellenic",White and multiple saturated colors,
Cleancore,,"Minimalism,Related aesthetics,Frutiger Aero,Frutiger Eco,Helvetica Aqua Aero,Icepunk,Medicalcore,Poolcore,Vaporwave,Vacation Dadcore,Zen Tranquility,Related aesthetics,Babycore,Kidcore,Kawaii,Nostalgiacore,Sanriocore","Teal Blue, White, Mint Green","Windex, Neutrogena, Tide, Dawn, Purell, etc"
Clowncore,"Clowncore fashion often includes:
,Large, colorful shoes,
,Childlike motifs such as rainbows, stars and balloons,
,Brightly dyed hair or wigs,
,Party or jester hats,
,Plastic accessories (similar to ,Decora,),
,Badges or jewelry with childlike slogans such as ""I jump in puddles"" or ""I got dressed today"",
,Heavy, clownlike makeup,
,Rainbow stripes,
,Primary colors,
,Overalls or suspenders,
,Circus tights,Media,[,]","Juggalo,Kidcore,LOLcore,Rainbowcore,Scene,Decora,Fanfare","Red, yellow, and blue",
Club,"Club fashion tends to be very high-end and is supposed to look nice, yet casual and is generally very breezy and light (due to the fact clubs are known to get incredibly hot).  However, that isn't to say some rather avant-garde fashion can't come out of club fashion (just ask the ,Club Kids,), but generally, if the bouncer doesn't approve of your fashion, you ain't wearing proper club fashion.
,Music,[,]","Acidwave,Belgian New Beat,Boujee,Bubblegum Dance,Cartelcore,Casino,Club Kids,Disco,Drugcore,Glam Rock,Glowwave,Goth,Hip-Hop,New Romantic,New Wave,Post-Punk,Punk,Raver,Stripcore,Tropical Disco,Urbancore",,
Cholo,"As mentioned earlier, the Cholo culture owes a lot of its roots the Pachuco culture. The most popular form of fashion among the Pachuco community were zoot suits (which were popular with Black, Italian, Filipino, and Japanese-Americans as well). These suits would consist of high-waisted creased baggy pants, a outer layer coat (usually with large shoulder pads underneath), dress shoes, a fedora or Panama hat, a long tie, and pocket chain. The pachuco fashion would eventually heavily influence the fashion of the cholo style.
,Basic info,[,],A typical Cholo outfit usually contains sneakers, knee socks, creased loose-fitted khakis or jeans, oversized t-shirts, and flannels. Khaki work shirts, polos, hoodies, and sweatpants are commonly worn by Cholos as well. In addition, Vegas Raiders, Dallas Cowboys, Los Angeles Dodgers, and Chicago White Sox merchandise is popular with the community. 
,Footwear,[,],Nike Cortez, Chuck Taylors, Air Jordans, and Air Force 1s are the most common footwear among Cholos. Adidas Superstars, Vans, Puma Suedes, white Fila or Reebok sneakers, and black slippers are popular as well. Though Oxford and Derby/Brogue shoes used to be worn often up until the early 1990s. 
,Hair and headwear,[,],Traditionally, combed-back hair was popular with the Pachuco and Cholo culture. However, buzzcuts and shaved heads became common during the mid 1980s. Pony tails are often sported as well. Bandanas or hair nets are worn to keep hair in place. Beanies and Baseball caps are the most often-used headwear. Fedora and Panama hats used to be common back then, though they are nowadays worn by Veteranos.
,Music,[,]","Baddie,Chicha,Gangsta Rap,Hip-Hop","Black, Grey, White, Brown, Blue",
Christian Girl Autumn,"A lot of the fashion in this aesthetic is based off of knit sweaters, usually in warm and earthy colors, with jeans. The sweaters usually have simple designs like stripes, or they have be one solid color. Cardigans and jackets are also common if a sweater isn’t being worn. Knit hats, scarves, small purses, and boots, especially uggs, go along side the sweater and jeans. Sometimes, glasses can also be a part of the look.
,Activities,[,]","Autumn,Karencore,VSCO,Common White Girl,New Spanish Catholic Girl,Tomato Girl Summer",,
Chromecore,,"Brutal Industrial,Cybercore,Frutiger Aero,Metalheart,Mizuiro,Neo-Tribal,Retro-Futurism,Shiny Suit 97,Technozen,Total Afternoon Live,Trillwave,2K1,2K7","Silver, gray, white, black, blue","Sony, Motorola, Samsung, Nintendo, Nikon, Nokia"
Choni,"Some fashion choices prominent in the Choni subculture include:
,Mini skirts,
,Mini shorts,
,Mini shirts,
,Small dresses,
,Cheap prints, such as leopard patterns, animal prints, metallic colors, fluorescent, fishnets, etc.,
,Tracksuits,
,Fanny packs,
,Plastic boots,
,Bright leggings and stockings,
,Cheap clothing, often from jumble sales,
,Tracksuits,
,Fanny packs,
,Bootleg brand sneakers and bags,
,Oversized accessories, including big hoop earrings, oversized sunglasses and necklaces,
,Piercings and tattoos, specially monroe piercings, eyebrow piercings and lower-back tattoos,
,Fake eyebrows,
,Long nails,
,Clashing clothing, patterns and colors,
,Eyecatching saturated colors, such as hot pink,
,Exaggerated makeup,
,Tight-fitting clothing,
,Poor color combinations,
,Exaggerated fake tanning (sometimes),Lingo,[,]","Ah Beng,Baddie,Bombardier,Cani,Chav,Dizelaši,Dresiarz,Flaite,Fresa,Gopnik,Gyaru,McBling,Motomami,Pelolai,Racaille,Raxet,Reggaetonero","Bright colors, hot pink, fluorescent yellow, metallic colours",
Christmas,"Fair Isle sweaters,
,Fuzzy socks,
,Nightgowns,
,Pajamas,
,Party clothes,
,Plaid skirts and pants,
,Santa hats,
,Slippers,
,Snow boots,
,Thick coats,
,Ugly Christmas sweaters,Activity,[,]",Winter,", ",
City Pop,"Clothing,[,],City Pop fashion tends to be very opulent, high end, and draws a lot on the Yuppie fashion of the time (and so a lot of J-Preppy and Resort style turns up in City Pop fashion).  Indeed, a lot of City Pop fashion has served as inspiration for a lot of modern Japan-inspired aesthetics such as Vaporwave and Lo-Fi. ""Business Casual"" is a popular phrase in City Pop fashion. Later City Pop music from the mid-to-late 1980s also draws a lot of inspiration in its female fashion from the then-emerging ,Bodikon, subculture.
,Sailor Moon and California Crisis anime are prime examples of City Pop outfits.
,Typical City Pop fashion items include:
,Dress shirts,
,Polo or rugby shirts,
,Knee-length khaki shorts or long pants,
,Shiny dress shoes,
,Sweaters, sweater vests, cardigans, or other woven tops,
,Pleated skirts,
,Muumuus or sundresses,
,Black or white jeans,
,Scarves,
,Suspenders,
,Hair accessories such as bobby pins, clips, bows, ties,
,White socks, knee-length or regular,
,Bracelets or bangles,*can be worn in neon or loud colours/patterns
,Wearing City Pop motifs (cities in neon colours, cassettes, soda or strawberry milk cans, occasionally flamingos, etc.) can also be considered a less casual and/or more modern subset of City Pop fashion.
, 	, 	, 	, 		 			, 		 		 		 			,A typical City-Pop women's hairstyle., 		 	, ,
,Hair,[,],Hairstyles are reflective of the era, but simultaneously have a wide range. 
,In women's hairstyles, common characteristics include voluminousness, curliness, and heavy application of products like hairspray and dry texturising spray. These include:
,Shoulder-length, wavy or curly with blunt/parted bangs,
,Past-shoulders, wavy or curly with blunt/parted bangs,
,Shoulder-length, wavy, curly, or crimped with blunt/parted bangs,Men's hairstyles are similar to women's hairstyles, being long and voluminous
,Shoulder-length with middle part,Music,[,]","After Hours,Animecore,Bodikon,Cantopop,Cybercore,Cyberpunk,Future Funk,Lo-Fi,Memphis Design,Modernism,New Romantic,New Wave,Shibuya Punk, (spiritual successor),Synthwave,Vaporwave,Visual Pollution,Yé-yé Girl",,"""Agora Road"""
Christian Hardcore,"Fashion for Christian Hardcore mainly derives from Rocker and ,Grunge, but involves more Christian imagery and is more modest. Common themes are lace, leather, boots, and white. Crosses are obviously one of the most recurring symbols and are either worn as accessories or as patterns on clothes. 
,Music,[,]","Alternative,Goth,Grunge,Indie,Metal,Metalcore,Vintage","Black, white, red, blue, purple. Some sects may have another color that will be present n the work.",
Chav,,"Ah Beng,Baddie,Bombardier,Cagole,Cani,Choni,Dizelaši,Eshay,Gopnik,McBling,Scrapper,Racaille,Raxet",,"JD Sports, Stone Island, pretty little thing(women)"
Cheiron Crush,,"Art Hoe,Cybercore,Frutiger Aero,McBling,MTV Green Sky,MTV 2 Overcast,Shiny Suit 97,Surf Crush,Tgif Crush,Total Afternoon Live,Ultraviolet Crush,VH1 Sepia Sky, ,VSCO,2K1,2K7",,
Chic Modernist,"Chic Modernist fashion may also be referred to as ""smart casual"", meaning not super dressy but still looking nice and presentable. This can include pairing jeans with a blazer or heels, or a long skirt with a t-shirt. Often times clothing items remain solid colors rather than use patterns, otherwise, patterns are used very sparingly.
,
, 	, 	, 	, 		 			, 		 		 		 			,A black and white photo portraying examples of both male and female chic modernist looks., 		 	, ,Feminine Fashion,[,],Feminine fashion may include: 
,Long coat,
,Turtlenecks,
,Fitted jeans,
,Blazers,
,Heels,
,Fitted slacks,
,Hats,
,Tailored skirts and dresses,
,Knee length/maxi skirts and dresses,
,Pearls,Masculine Fashion,[,],Masculine fashion may include:
,Button-down shirts,
,Nicely kept, T-shirts
,Less graphic t's, more solid colors,
,Knit sweaters,
,Fitted khakis/chinos,
,Jeans,
,Dress pants,
,Nice, polished shoes,
,Clean sneakers,
,Jean jackets,
,Leather jackets,
,Trench coats,
,Watches,
,Belts that match shoes,Boards,[,],Chic Modernist: Fall/Spring by Lady Hydra,
,Chic Modernist: Summer Edition by Lady Hydra,
,Chic Modernist: For Men by Lady Hydra,Gallery,[,]","Beatnik,Boujee,Cayetana,Corporate,Dark Academia,Indie,Light Academia,Minimalism,Modernism,Pijo,Preppy,Romantic Italian,Vintage Parisian","Neutrals, black, white, bright accent colors",
Changelingcore,,"Cryptid Academia,Cryptidcore,Ethereal,Fairycore,Goblincore,Liminal Space,Mosscore,Naturecore",,
Cherry Emoji Twitter,"CET fashion is either sexual and revealing or seemingly innocent yet erotic. Styles of dress vary depending on the individual. If someone is more covert about their sexuality, they may dress in a more cute and innocent way - contrary to their true nature. If someone if more overt with their sexuality, they may dress in sultry and revealing clothing, drawing people's eyes exactly where they want them to look. It truly depends on the individual though, and with that individual's boundaries in mind.
,Common elements of CET fashion are: 
,Lots of cherry prints on clothing,
,Reds, whites, and pinks as dominant outfit color,
,Tight or slightly risqué clothing,
,Summer outfits,
,Usually outfits that show large amounts of skin,
,Red and pink lips, either colored this by lip-gloss, tinted lip balm, or lipstick,Media,[,]","Baddie,Bimbo Casual,Bubblegum Bitch,Femme Fatale,Lovecore,McBling,Nymphet,Rockabilly,Tomato Girl Summer","Red, pink, white",
Chaotic Academia,"The style doesn't have to be strictly formal and proper. The uniform should be fun! You can mess with a shirt a little, altering it to one's liking, and cut and fix it in different places. Convenience and comfort are a priority. Anything school-related or quick and easy will do. Be yourself!
,Some of these examples are:
,Button downs open over logo tee shirts,
,Messy eyeliner,
,Heavy boots,
,Mismatched socks,
,The same hoodie or sweater every day,
,Patched or torn clothes,
,Too many cardigans and sweaters,
,School uniform but worn incorrectly; neckties around heads, ripped stockings,
,Large blazers,
,Sandals or crocs,
,Jeans,
,Untied laces,
,Leg warmers,
,Oversized Earth tone Sweaters,Gallery,[,]","Dark Academia,Light Academia",Any colour,
Chicha,,"Acidwave,Baroque,Cholo,Cumbiero,Dollar Store Vernacular,Hippie,Kitschy,Lolailo,Lowbrow,Pop Art,Psychedelica,Tropical","Pink, red, yellow, green, fluorescent, blue, orange",
Cayetana,"The most common elements of Cayetana fashion are:
,Breton-style striped shirts or sweaters,
,Bomber vest jackets,
,Bell trousers,
,Loose pants,
,Converse sneakers,
,Golden bracelets,
,Fabric bracelets featuring the Spanish flag,
,Small golden earrings,
,White short nails,
,Little to no makeup,
,Soft and natural beauty and makeup,
,Elegant and expensive clothing,
,Simple, thin and loose clothing,
,Casual and classic styled clothing,Activities,[,]","Boujee,Chic Modernist,Milipili,Old Money,Pijo","White, black and any other colours","Renatta & Go., Zadig Et Voltaire, Scalpers, ZARA, Mango"
Catholic Horror,,"Cultcore,Devilcore,Gorecore,Gothic,★ ,Horror,Medieval,Morute,Sacricore,Southern Gothic,Vampire,Welwitschia Goth","Black, white, golden, red, dark muted blue/red",
Cassette Futurism,,"Atompunk,Cyberpunk,Dieselpunk,Hexatron,Laser Grid,Raygun Gothic,Retro-Futurism,Space Cowboy,Synthwave,Vaporwave,Vectorcore,Vintage","Beige, cream, grey, red, green, blue",
Casino,"High Roller Casino fashion includes formalwear and can share a lot in common with the ,Lounge, aesthetic. High Roller Casino individuals tend to hang around the table games (Poker, Roulette, Blackjack, etc)
,Tourist Casino fashion tends to be a bit more lax (simple t-shirts and what not) and shares a lot in common with ,Vacation Dadcore,, with added fanny pack for fun effect. Tourist Casino individuals will tend to hang around the Slot machines and other games of that nature.
,Media,[,]","Boujee,Cartelcore,Drugcore,Lounge,McBling,Stripcore,Synthwave,Vacation Dadcore,Vintage","Black, white, red, gold",
Caricaturism,,"Beatnik,Cartooncore,Grime Art,Grotesque,Hipness Purgatory,Indiecraft,MS Paint,Old Memecore,Urbancore",,
Carnivalcore,"These items are commonly seen, however not necessary.
,Clothing,[,],Lolita dresses,
,Petticoats,
,Striped tees,
,Shorts,
,Jeans,
,Colorful tights/socks-often knee high and pastel stripes,
,Cartoon character graphics,
,Images of fairgrounds,
,Mismatched socks,
,Jester hats,
,Colorful gloves,Make up,[,],Harlequin outfits,
,Jester outfits,
,Face paint,Media,[,]","Clowncore,Cuddle Party,Lo-Fi, ,Lolailo, ,Pastel, ","Pink, bright but aged colors, pastel colors,",
Captchacore,,"Anoncore,Arabfunny,Bastardcore,Cybercore,Digital Oddity,Dollar Store Vernacular,EXEcore,Old Memecore,Old Web,Weirdcore,Xpiritualism","White, black, red",
Cartelcore,"Pastel colors and 1980's aesthetics are generally the core of Cartelcore fashion, especially paired with gold jewelry (especially rings and chains). As far as actual clothing items, polos and button up shirts undone about 2 buttons down from the top to display the collarbones and chains, as well as pastel colored shirts and pants. Bullet proof vests, blue jeans, and a black short sleeve button up shirt however, are the most accurate representations of this aesthetic. 
,Music,[,]","City Pop,Drugcore,Glowwave,Synthwave,Tropical Disco,Vaporwave,Vacation Dadcore","Pastel pink, sky blue, white, green, neon colors",
Cartooncore,"With cartoons comes a lot of merchandise. Merchandising for cartoons were especially popular during the 80s, such as toys for He-Man, Teenage Mutant Ninja Turtles, and Transformers. Cartooncore people may wear shirts with logos and characters on them, and may have pins referencing a favorite show.  Other items might include:
,Cartoon merchandise,
,Bold colors,
,V-necks,
,Clothes straying away from societal norms,
,Pixel art,Activities,[,]","Animecore,Bubblegum Dance,Geek,Hideakicore,Lo-Fi,LOLcore,Magical Girls,Mission School,Nostalgiacore,Ligne Claire,Rubberhose,Vaporwave,Vintage,Wholesome Meme,Wimmelbilderbuch",,
Cani,"Some elements commonly used in Cani outfits include:
,Bootleg football team shirts,
,Tracksuits,
,Muscle shirts,
,Cheap sunglasses,
,Baseball caps,
,Cheap clothing,
,Sports sneakers,
,Golden jewelry, including necklaces, piercings, rings and bracelets,
,Tribal tattoos,
,Partially shaved hairstyles and eyebrows,Lingo,[,]","Ah Beng,Bombardier,Chaka,Chav,Choni,Dizelaši,Dresiarz,Flaite,Gangstacore,Gangsta Rap,Gopnik,Pokemón,Racaille,Raxet,Reggaetonero","Black, white, gold, green",
